date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:38	66664/66664	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373c3b-10468%22	https://colorlib.com/etc/lf/Login_v2/vendor/select2/select2.min.js	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/vendor/select2/select2.min.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
10:46:38	46645/46645	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373c37-b635%22	https://colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/moment.min.js	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/moment.min.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
10:46:38	41282/41282	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373c36-11090%22	https://colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/daterangepicker.js	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/daterangepicker.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
10:46:39	934/934	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373c34-53c%22	https://colorlib.com/etc/lf/Login_v2/vendor/countdowntime/countdowntime.js	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/vendor/countdowntime/countdowntime.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
10:46:39	1401/1401	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373c2b-99e%22	https://colorlib.com/etc/lf/Login_v2/js/main.js	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/js/main.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
10:46:39	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263373c15-2876e%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
10:46:40	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263373c15-2876e%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
10:46:40	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%2263373c17-12d68%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
10:46:40	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2263373c16-17ee8%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
10:46:40	165548/165548	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2263373c16-286ac%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
10:46:40	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263373c15-6c7db%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
10:46:41	38384/38384	---M--	200	added ('OK')	application/font-woff2	etag:%2263373c23-95f0%22	https://colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.woff2	(from https://colorlib.com/etc/lf/Login_v2/fonts/iconic/css/material-design-iconic-font.min.css)
10:46:41	50312/50312	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2263373c22-c488%22	https://colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.woff	(from https://colorlib.com/etc/lf/Login_v2/fonts/iconic/css/material-design-iconic-font.min.css)
10:46:41	99212/99212	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2263373c21-1838c%22	https://colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from https://colorlib.com/etc/lf/Login_v2/fonts/iconic/css/material-design-iconic-font.min.css)
10:46:41	145312/145312	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2263373c28-237a0%22	https://colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Regular.ttf	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Regular.ttf	(from https://colorlib.com/etc/lf/Login_v2/css/main.css)
10:46:42	143516/143516	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2263373c27-2309c%22	https://colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Medium.ttf	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Medium.ttf	(from https://colorlib.com/etc/lf/Login_v2/css/main.css)
10:46:42	141260/141260	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2263373c24-227cc%22	https://colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Bold.ttf	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Bold.ttf	(from https://colorlib.com/etc/lf/Login_v2/css/main.css)
10:46:43	142148/142148	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2263373c28-22b44%22	https://colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-SemiBold.ttf	C:/Users/ahmet%20can%20ceylan/Desktop/deneme/colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-SemiBold.ttf	(from https://colorlib.com/etc/lf/Login_v2/css/main.css)
